libdbusmenu-glib 16.04.0-3
libdbusmenu-gtk3 16.04.0-3
libdbusmenu-qt5 0.9.3+16.04.20160218-4
libdc1394 2.2.6-1
libdca 0.0.6-1
libde265 1.0.3-1
libdmtx 0.7.5-1
libdmx 1.1.4-1
libdrm 2.4.99-1
libdv 1.0.0-7
libdvbpsi 1:1.3.2-1
libdvdcss 1.4.2-1
libdvdnav 6.0.0-1
libdvdread 6.0.1-1
libe-book 0.1.3-5
libebml 1.3.9-1
libedit 20190324_3.1-1
libelf 0.176-1
libepoxy 1.5.3-1
libepubgen 0.1.1-1
libetonyek 0.1.9-1
libev 4.27-1
libevdev 1.7.0-1
libevent 2.1.10-1
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfakekey 0.3-1
libfbclient 3.0.4.33054-1
libfdk-aac 2.0.0-1
libffi 3.2.1-3
libfontenc 1.1.4-1
libfreehand 0.1.2-2
libftdi 1.4-2
libgcrypt 1.8.4-1
libgexiv2 0.12.0-2
libgit2 1:0.28.2-1
libglvnd 1.1.1-1
libgme 0.6.2-1
libgoom2 2k4-4
libgpg-error 1.36-1
libgphoto2 2.5.23-1
libgrss 0.7.0+16+g971c421-2
libgsf 1.14.46-1
libgudev 232-1
libgusb 0.3.0-1
libgweather 3.32.2-1
libgxps 0.3.1-1
libibus 1.5.20-2
libical 3.0.4-3
libice 1.0.10-1
libid3tag 0.15.1b-9
libidn 1.35-1
libidn2 2.2.0-1
libiec61883 1.2.0-5
libieee1284 0.2.11-7
libimagequant 2.12.3-1
libimobiledevice 1.2.0+87+g92c5462-1
libindicator-gtk3 12.10.1-8
libinput 1.13.4-1
libiptcdata 1.0.4-4
libixion 0.14.1-2
libjpeg-turbo 2.0.2-1
libkate 0.4.1-6
libkdcraw 19.04.3-1
libkexiv2 19.04.3-1
libkipi 19.04.3-1
libksane 19.04.3-1
libksba 1.3.5-1
libkscreen 5.16.3-1
libksysguard 5.16.3-1
libktorrent 2.1-1
liblangtag 0.6.2-2
libldap 2.4.47-3
liblouis 3.10.0-1
liblphobos 2:1.16.0-2
liblqr 0.4.2-2
liblrdf 0.6.1-2
libmad 0.15.1b-8
libmatroska 1.5.2-1
libmbim 1.18.2-1
libmediainfo 19.04-1
libmicrodns 0.0.10-1
libmikmod 3.3.11.1-2
libmm-glib 1.10.4-1
libmms 0.6.4-2
libmng 2.0.3-2
libmnl 1.0.4-2
libmodplug 0.8.9.0-2
libmp4v2 2.0.0-5
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-2
libmpdclient 2.16-1
libmpeg2 0.5.1-6
libmspub 0.1.4-5
libmtp 1.1.16-1
libmwaw 0.3.15-1
libnautilus-extension 3.32.1-1
libndp 1.7-1
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.21-1
libnfnetlink 1.0.1-3
libnfs 4.0.0-3
libnftnl 1.1.3-1
libnghttp2 1.36.0-1
libnice 0.1.16-1
libnl 3.4.0-1
libnm 1.18.2-1
libnm-glib 1.18.2-1
libnotify 0.7.8-1
libnsl 1.2.0-1
libnumbertext 1.0.5-1
libodfgen 0.1.7-1
libofa 0.9.3-8
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
